temp;year
-0,3930;1
-0,3096;2
-0,2433;3
-0,2441;4
-0,3075;5
-0,4219;6
-0,5659;7
-0,5974;8
-0,5496;9
-0,5243;10
-0,5166;11
-0,5136;12
-0,5654;13
-0,7616;14
-0,9735;15
-0,9226;16
-0,6152;17
-0,3817;18
-0,4368;19
-0,5955;20
-0,6284;21
-0,5746;22
-0,4853;23
-0,3549;24
-0,1812;25
-0,0669;26
-0,1533;27
-0,3617;28
-0,4838;29
-0,4547;30
-0,3789;31
-0,2315;32
-0,0807;33
-0,0009;34
-0,0121;35
-0,2080;36
-0,4335;37
-0,3650;38
-0,2290;39
-0,2266;40
-0,2815;41
-0,3838;42
-0,4867;43
-0,5718;44
-0,5898;45
-0,5806;46
-0,5518;47
-0,4779;48
-0,3688;49
-0,3038;50
-0,3726;51
-0,5025;52
-0,5053;53
-0,3733;54
-0,3843;55
-0,4930;56
-0,4863;57
-0,4631;58
-0,4557;59
-0,4164;60
-0,3838;61
-0,3856;62
-0,4164;63
-0,4998;64
-0,5659;65
-0,5378;66
-0,5402;67
-0,5882;68
-0,6314;69
-0,6478;70
-0,6195;71
-0,5086;72
-0,4506;73
-0,4654;74
-0,4546;75
-0,3788;76
-0,2938;77
-0,2459;78
-0,2144;79
-0,1890;80
-0,2348;81
-0,3591;82
-0,4867;83
-0,5625;84
-0,6237;85
-0,6787;86
-0,6368;87
-0,3971;88
-0,1764;89
-0,1596;90
-0,2154;91
-0,2660;92
-0,3524;93
-0,3934;94
-0,2988;95
-0,1631;96
-0,1610;97
-0,2395;98
-0,3811;99
-0,5429;100
-0,4989;101
-0,3473;102
-0,2829;103
-0,2581;104
-0,2461;105
-0,2552;106
-0,2878;107
-0,4534;108
-0,5698;109
-0,3844;110
-0,2801;111
-0,3720;112
-0,3426;113
-0,2199;114
-0,1638;115
-0,2379;116
-0,3896;117
-0,4587;118
-0,3825;119
-0,2335;120
-0,1916;121
-0,3419;122
-0,4281;123
-0,2966;124
-0,2220;125
-0,2841;126
-0,2824;127
-0,1788;128
-0,1060;129
-0,1202;130
-0,1869;131
-0,2509;132
-0,3068;133
-0,3106;134
-0,3025;135
-0,3333;136
-0,3210;137
-0,2568;138
-0,2920;139
-0,3688;140
-0,3948;141
-0,4377;142
